Feature ID,BlankSub Mean 45_T,BlankSub Mean 46_T,BlankSub Mean 47_T,BlankSub Mean 48_T,BlankSub Mean 49_T,BlankSub Mean 50_T,BlankSub Mean 51_T,BlankSub Mean 52_T,BlankSub Mean 53_T,BlankSub Mean 54_T,BlankSub Mean 55_T,BlankSub Mean 56_T,BlankSub Mean 57_T,BlankSub Mean 58_T,BlankSub Mean 59_T,BlankSub Mean 60_T
1424,,,,,403549,167082.3333,258224.3333,169931,237807.6667,141023,200146,105753,237830.5,172512,119177.6667,235057
758,1680902.333,1843042.667,1894614.667,1707558.667,1987078.667,1950888,2150816.667,1896393,1802843.667,1391967.333,1843084.333,1590189.667,1718036.667,1475044.667,1790197,1668434
1533,212732.3333,218948,236144,216172,189038.3333,217800.6667,223021.6667,205188,209219.6667,165941.3333,195688.3333,182095.6667,189989,160955.6667,182101,182484.3333
1273,376577.3333,,434555.6667,243271.6667,555216,595576.6667,682376,403886,509118.3333,428768.3333,515780.6667,358469.6667,484313.3333,480658.3333,501987.6667,359582
2645,1643877.333,,,663160.3333,2782628.667,3492612.667,3484316.333,2019931,2393187,1875039.667,2155604.333,2028977.667,2079164.333,2512261.333,2344385.667,1882361
3259,343507.6667,,,167861,549263.3333,629287,602856,519950.3333,250601.3333,193857,294196,325319.6667,267803.6667,242910.3333,354078.6667,226234.6667
4420,66146.3333,62231,47428.6667,33426.3333,83199.3333,96721.3333,53065.6667,71773.6667,,26903.6667,42304,46299.3333,174877,67484.6667,48331.3333,
3740,100462.6667,,,35561.6667,156879.6667,184431.6667,193154.6667,137107.3333,119050.6667,93460.3333,112197,96257,125924.6667,115326.3333,130784.3333,96797
4697,343508.6667,,,167867.6667,549270.3333,629292.6667,602860.6667,519950.3333,250601.3333,193860.3333,294196,325319.6667,267809.3333,242910.3333,354078.6667,226238
5280,,,,,35764.6667,21407.6667,34788.5,,,,18105,21480.6667,,,32442.5,
3646,81609,79297.5,74580,33893.6667,78824.6667,47566.3333,242279.3333,,,,,,28101.5,,,
2665,,,,,,,200883.3334,,,,,,,289348,,
126,745522.1667,574638.8333,443542.1667,508679.1667,567007.5,894353.1667,599982.5,443121.1667,374927.1667,406956.1667,380568.8333,331948.5,506558.8333,,349087.8333,487293.8333
374,90170.6667,69358,93330.6667,116551.3333,77356.3333,74165.6667,97318,114391,138516.6667,103011,117761.6667,127122.3333,220317,124458,77871.3333,171639.3333
973,438338.6667,,322506.6667,223619,702363.6667,773881.6667,804769,812112.3333,893766.6667,759944.6667,890070.3333,878758.6667,781101.3333,793923.3333,764973.6667,820746
1873,138323,101080,149596,,130699.3333,125374.6667,177612.6667,138794.6667,261440.3333,211440.3333,199076.3333,161580,176900.3333,197946.6667,162532.6667,175310.3333
1635,261326.3333,241766.3333,217785,135723,193339,338913.3333,479735.6667,205106,292917.6667,228621,364889.3333,213449.6667,323247.6667,306390.3333,214877.3333,262307.3333
35,1827455.167,,1270732.5,528347.5,3504839.833,3321347.167,5003036.167,3340362.833,5874196.833,5060976.5,4882332.833,3866352.167,4434054.5,4898572.167,4388079.167,4143257.833
154,21278.8333,,14341.8333,19943.5,,38783.1667,4926690.167,,5721296.167,4907749.167,4727677.167,,,,4234154.5,4047425.833
166,,,,,,,165068.6667,,349101.3333,228501.6667,183975.3333,169976.6667,332354.6667,274289.3333,198351.3333,198599.6667
1184,198145,67957,78313.3333,80063.5,162836,166405,72854.6667,120306.6667,82232.6667,72441.3333,41584.3333,101776.3333,57982.6667,55274.6667,83706,89451.3333
4387,,,,,26481.6667,,102563.6667,80280.6667,25152.3333,,,,,37563,31446.3333,
1123,,,,,396651,,426525,,,,,,,,,679220
3113,333961,,,107607.6667,1428021,662931,1384414,654209.6667,443106.3333,451553.3333,493327,194674.6667,,351675.6667,397614.6667,1947237.667
4069,,70355.5,38481.5,,56060.3333,54771.6667,15908,61086.6667,113060,136388.3333,103198.6667,134517,55828,158382,172200,110864.3333
1304,232062,,157598.5,,273477.3333,293545,323068,218320,322130.6667,263394.6667,298579,250246,296918.6667,326915,250969,259019.3333
4024,103683.5,,,,,58436,,,32336,,,,,,,
3224,548089.6667,,,117384.6667,961038.3333,692541,715072.6667,431528,596535.6667,430618,404141,302708.3333,,424191.6667,361754.3333,435987
4129,120804,98050,101829,127919.6667,88321,117112.6667,36304.6667,58844.3333,71041.6667,35358.6667,71370.3333,113406.6667,76841.3333,55145,70898.3333,53092
3581,106663.6667,,,56350,251529.3333,216795.6667,302300.6667,215102.6667,128708.3333,107138,190093.6667,142940,95704,142955.6667,178103.6667,161069.3333
330,194475.8333,,,60407.8333,266397.5,379455.1667,327533.1667,217836.5,307552.8333,275779.8333,275794.8333,222337.5,228588.5,313802.8333,301067.5,215587.8333
4918,61362,,,,,,,,,,,,,,,
4377,49790,,,,,20551.3333,31174.3333,24190.5,,,,,,,,
1664,,,,,,43916,74560.3333,,,,,,,,,
5139,,,,,39073.3333,35309.3333,35172,33793.6667,,,19348.6667,21145.6667,,,20309,
3429,163501,,495135,,433973.6667,473843.3333,,85543.3333,391252.6667,109859,166609.6667,129036.3333,483866.6667,,155348.6667,287851.3333
2705,286728.6666,204076.6666,285545,369817.3333,306546.6666,368997.6666,222852,162025.3333,122190,127301.3333,,136271.3333,,,154231.3333,132974
926,414576,,273460.6667,277523,704933.3333,777705.3333,762351,591025,778959.3333,549768.6667,678848.6667,814561.3333,,871978,694328,625572
3659,104477.3333,112996,75455.3333,80064.6667,185591.6667,201322.3333,191607.6667,145517,150045.3333,126842.3333,149024.6667,181188.3333,157202.6667,181238.6667,141613,133112
3601,26692.6667,,,42689.6667,213569,167083,211336.3333,182381.6667,174932,141540.6667,134320,101155,174700,141711,109042.3333,312105.3333
1130,346009,,261651.6667,140324.6667,488729,653455.3333,679956.6667,439548.3333,522787.6667,430317.6667,536697.6667,463776.3333,493789.6667,584841.3333,633767,383119
1742,103760.6667,,82253,52771.3333,184213.6667,157958,206805,106345.3333,120563.3333,91844.3333,101443.3333,131462.6667,150717,95391,129055.6667,120376.3333
3128,18326,,,,314389.3333,38140,240134,582105,31341,24654,,51051.3333,52294,32015.3333,48616.5,1784999
4605,55149.6667,,,,22484.6667,28486.6667,27623,20050.5,,,,,,,,
3783,95501.5,,111751.5,,178406,33762,155595.6667,84018.6667,66506.6667,36522.5,58802,,44311,,34965.5,65227
1288,26809,,,,25136.5,,,,,,,,461940.5,,,
1700,84650,,166999.3333,77930.6667,338911,147527,274619.6667,260704.3333,92562,84983.6667,257419.3333,102342.3333,,125886,163904.6667,162201
1509,121755,,150142,46203.3333,176751.6667,263271,260151,203988,185795.3333,166427.3333,184200.3333,147406.6667,149709,165393,176831.6667,189332.6667
