Feature ID,BlankSub Mean 1000ppb_,BlankSub Mean 100ppb_,BlankSub Mean 10ppb_,BlankSub Mean 250ppb_,BlankSub Mean 500ppb_,BlankSub Mean D1S1_,BlankSub Mean D1S2_,BlankSub Mean D1S3_,BlankSub Mean D1S4_,BlankSub Mean D2S1_,BlankSub Mean D2S2_,BlankSub Mean D2S3_,BlankSub Mean D2S4_,BlankSub Mean D3S1_,BlankSub Mean D3S2_,BlankSub Mean D3S3_,BlankSub Mean D3S4_,BlankSub Mean Pooled_
266,,,,,,,,,,,,,,,,,,154.775
267,,,,,,,362.8717,,,,422.8355,398.9067,,351.9894,,,,264.6196
5059,,899.9561,1933.3348,,,,,,,,,,,,,,,
5060,,,,,,111.0309,,,,,,127.6529,,,,,,
269,,,,,,,,,,,114.3893,,,,,118.9946,,
270,,,,,,109.7398,178.2455,,,,,,,,,,,
271,,,,,,221.8405,239.6377,240.3177,151.1023,333.6521,364.1342,355.1517,,253.5425,208.855,260.6549,70.7924,176.3403
272,,,,,,,131.197,,62.1406,,85.5501,93.7571,,,139.1155,139.462,31.3258,76.8394
273,,,,,,145.0252,175.7272,,,51.2211,,76.9588,,,,135.3752,,
274,,,,,,196.1738,228.6944,265.1844,,,108.79,,,283.1451,290.5483,436.9688,,
5061,,,,,,774.0433,666.9692,1084.8128,,215.5172,445.0798,346.1043,,467.3464,399.1642,675.3499,,404.1282
5062,,,,,,,270.0788,,,,413.314,226.1353,,137.2375,138.8334,160.102,,
275,,,,,,109.513,,,,,108.688,,,,,,,599.3648
276,,,,,,,,659.5769,,,,126.2897,,,,,,
277,,,,,,,,,,357.5582,279.7519,258.1524,276.5246,,,,,164.5132
278,,86.3794,,,,134.0226,,115.2291,,97.7643,,,160.546,,,,,
279,,,,,,109.534,114.0287,,,107.2597,185.6322,162.802,,,,,,
280,,,,,,,,,,140.4448,244.7341,185.2184,,,,,,
281,,,,,,,120.4648,119.5928,,,142.6482,,,,,,,
283,,,,,,,,,,,,,,,,,,116.4755
284,,,,,,,,120.4446,114.7887,,211.5468,165.318,,,,,,
285,,,,,,236.9478,349.2895,194.3344,,,,,,,,,,
288,,,,,,1924.5042,2124.392,2153.1028,,1880.7141,2764.7079,2471.451,594.9282,2222.2822,2027.2323,2355.1181,509.6146,1530.0185
289,,,,,,,,,,,,,,168.0635,,,,
290,,,,,,,633.1672,805.9274,,,,,,,,,,
292,,,,,,114.0947,,,,,,,,,,,,
293,,,,,,358.0741,365.8598,394.269,167.4321,352.9148,497.1006,453.6143,105.6462,387.0806,337.8132,401.201,87.3616,271.4471
294,,,,,,,,,,106.9137,180.6142,144.5405,,,,,,
295,145.5827,118.2447,,,112.1908,,,96.8302,,,,,,,,,,
297,724.8172,,,,,,,,,,,,,,,,,855.5108
298,,,,,,234.5277,289.0644,251.5048,,95.7557,197.636,158.3458,,163.0129,202.558,240.4452,,
299,,,,,,284.2827,351.9742,243.6075,,,,,,,,,,
300,,,,,,,124.427,,,,,,,,,118.9911,,
302,,,,,,587.5879,664.3178,633.2388,634.4606,646.0501,831.2598,763.672,,749.2854,675.8674,742.977,256.8084,
303,,,,,,,,,156.0591,288.7967,424.6709,,91.6208,356.5417,,,,237.1681
304,949.7638,,,,558.3951,,,,,,,,,,,,,1174.8171
305,,,,,,,,,,306.7732,643.6199,428.2556,,,,,,
309,,,,,,,,,,,729.9891,188.4339,,,,,,
313,,,,,,513.2702,591.1396,948.6192,,482.37,755.6596,566.8326,,871.7355,699.0726,1407.9819,,386.9381
314,,,,,,,224.9195,,,,,,,,,,,
315,,,,,,,,191.5611,,,,,,154.2746,,202.5187,,185.8853
317,,,,,,245.1736,,141.2305,,,,,,,92.1338,156.7377,,
5064,,138.1875,,,99.9109,,,,,,,,,,,,,
5065,,869.7425,1069.6895,780.0402,,302.3908,,,,,262.4308,,,,267.7235,,270.4492,
5066,,,,,,,603.2684,,,,,,,,,801.3774,,
5067,,,,,,253.9967,248.5084,223.9022,,,,,,,,,,
318,,,,,,1061.3095,1267.7566,976.7249,,,1430.6107,,,,,,,
319,,,,,,,,356.7298,,,,,,,,,,
322,,,,,,,,353.3153,,,401.1301,1052.0058,,759.7638,,303.5827,,
323,,,,,,,107.861,,,,,128.9671,,,,,,
328,,,,,,,141.0684,,,,,,,,,123.9111,,
329,616.7535,,,182.8647,,,,,,,,,,,,,,726.2094
330,,,,,,,,,,,,,,,,105.5057,,
331,303.0016,,,,181.301,,,,,,,,,,,,,
332,2122.6733,,,571.8151,1337.3491,,,,,,,,,,,,,2501.0964
333,,,,,,288.267,335.5853,,,,,,,,,,,187.1864
334,,,,,,,,,,,213.6424,,,,,,,
335,,,,,,222.834,,,,,368.4082,,,,188.4244,,,
336,,,,,,,,150.8117,,,,,,,155.7821,245.2619,,
338,,,,,,,,,,,,,,,,292.3758,,
339,,,,,,,,,,,180.6314,,,,,260.4899,,
341,14600.8296,,,,7902.5026,,,,,,,,,,,,,20750.1466
342,339.729,,,,175.5011,,,,,,,,,,,,,
343,,,,,,2173.3686,2275.742,3499.6927,,564.0871,937.4891,683.9449,,7159.9272,6133.975,7510.9868,,1913.0018
344,,,,,,,199.4064,,,,,,,,185.1567,,,110.9385
5068,826.7465,427.992,368.707,547.3301,,,,,,,,,115.6338,,,,,803.2241
5069,,,,,,2895.3101,2632.2832,3079.9813,2603.9801,2470.2502,4046.9472,3533.9837,839.5367,3124.3601,2858.0347,3227.862,793.9412,1420.5553
345,189.695,1232.936,1650.408,,684.9438,,,,,,,,261.2879,,,,,
348,899.6387,1105.6517,1209.0864,950.2074,996.5548,,,,1799.7734,3669.3733,3886.7318,2530.1381,30631.7107,3099.9233,3855.1774,7975.9926,3712.2155,4513.7275
349,,,,,,405.5193,386.1372,334.8088,221.3964,377.7715,602.0156,442.5579,178.2909,499.5976,427.9653,513.5139,191.7156,302.0314
351,,,,,,466.388,483.5953,,,229.4366,356.3884,,,420.3119,,,,
353,,,,,,,185.6374,,,,,,,,115.3535,,,
354,,,,,,310.177,289.331,287.543,275.7842,,164.0232,101.7338,,,,180.2168,,
355,,,,,,141.1955,312.1803,218.3323,,,,142.8852,,160.0175,151.6509,,,
356,,,,,,,220.3897,,,,224.9251,,,,197.4657,,,
357,,,,,,675.5323,820.2338,572.9758,,,,,,,,,,
358,,,113.7831,,,,,,,,,,,,,,,
359,,,,,,172.4982,199.1417,155.3032,,,,,,139.5421,130.2948,207.8584,,
360,,,,,,248.3858,,243.1457,,,236.3008,,,421.5399,355.48,574.6109,,128.4182
361,,198.4649,,309.2142,,139.6619,181.3869,177.7635,,,,198.6066,286.2858,,,,290.1104,
